Dataset,type,Authors,Publication year,Title,Journal/Book title/ Report type,Vol(issue)/Report no,pagination,doi no/ISBN no/Ref.,URL,,,catalogue link
aam,proceedings,"Freedman, A.P., and J.O. Dickey",1991,Intercompanson of AAM analysis and forecast data in UT1 estimation and prediction,"Proc. AGU Chapman Conf. on Geodetic VLBI: Monitoring Global Change, U.S. Department of Commerce/NOAA/NOS, NOAA Tech. Rep.",NOS 137 NGS 49,279-293,,,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Gill, A.E., and P.P. Niiler",1973,The theory of the seasonal variability in the ocean,Deep Sea Res. Oceanogr. Abstr.,20(2),141-177,10.1016/0011-7471(73)90049-1 ,http://dx.doi.org/10.1016/0011-7471(73)90049-1,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Gross, R.S., and U.J. Lindqwister",1992,Atmospheric excitation of polar motion during the GIG'91 measurement campaign,Geophys. Res. Lett.,19(9),849-852,10.1029/92GL00935,http://dx.doi.org/10.1029/92GL00935,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Herring, T.",1991,The rotation of the Earth,Rev. Geophys.,29 (suppl.),172-175,,,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Hide, R.",1984,Rotation of the atmospheres of the Earth and planets.,Phil. Trans. Roy. Soc. Lond. A,313(1524),107-121,10.1098/rsta.1984.0087,http://dx.doi.org/10.1098/rsta.1984.0087,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Hide, R., and J.O. Dickey",1991,Earth's variable rotation.,Science,253,629-637,10.1126/science.253.5020.629,http://dx.doi.org/10.1126/science.253.5020.629,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Hide, R., Birch, N.T., Morrison, L.V., Shea, D.J., and White, A.A.",1980,Atmospheric angular momentum fluctuations and changes in the length of day.,Nature,286,114-117,10.1038/286114a0,http://dx.doi.org/10.1038/286114a0,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,misc,International Earth Rotation Service (IERS),1991,Annual Report for 1990,,"Observatoire de Paris, France",,2-900340-03-9,,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Krishnamurti, T.N., Sinha, M.C., Krishnamurti, R., Oosterhof, D. and Comeaux, J.",1992,"Angular momentum, length of day and monsoonal low-frequency mode.",J. Meteorol. Soc. Jpn.,70,131-165,,,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Kuehne, J.W., and C.R. Wilson",1991,Terrestrial water storage and polar motion,J. Geophys. Res.,96(B3),4337-4345,10.1029/90JB02573,http://dx.doi.org/10.1029/90JB02573,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,misc,"Lambeck, K.",1980,The Earth's Variable Rotation: geophysical causes and consequences,,Cambridge University Press,449pp,978-0521673303,http://books.google.co.uk/books?id=-kiG3uYkoUEC&lpg=PP1&dq=The%20Earth's%20Variable%20Rotation%3A%20geophysical%20causes%20and%20consequences&pg=PR7#v=onepage&q=&f=false,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Langley, R.B., R.W. King, I.I. Shapiro, R.D. Rosen, and D.A. Salstein.",1981,Atmospheric angular momentum and the length of day: A common fluctuation with a period near 50 days,Nature,294,730-732,10.1038/294730a0,http://dx.doi.org/10.1038/294730a0,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Miller, M.J., A.C.M. Beljaars, and T.N. Palmer",1992,The sensitivity of the ECMWF model to the parameterization of evaporation from the tropical oceans,J. Clim.,5(5),418-434,10.1175/1520-0442(1992)005<0418:TSOTEM>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/5/5/pdf/i1520-0442-5-5-418.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,misc,"Moritz, H. and Mueller, I.I.",1987,Earth rotation: Theory and observation,,"Ungar Publishing Company, New York",617pp,978-0804446716,,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,misc,"Munk, W.H. and G.J.F. MacDonald",1960,The Rotation of the Earth,,Cambridge University Press,323pp,,,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Oort, A.H.",1989,Angular momentum cycle in the atmosphere-ocean-solid earth system,Bull. Am. Meteorol. Soc.,70(10),1231-1242,10.1175/1520-0477(1989)070<1231:AMCITA>2.0.CO;2,http://ams.allenpress.com/archive/1520-0477/70/10/pdf/i1520-0477-70-10-1231.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Ponte, R.M., D.A. Salstein, and R.D. Rosen",1991,Sea level response to pressure forcing in a barotropic numerical model,J. Phys. Oceanogr.,21(7),1043-1057,10.1175/1520-0485(1991)021<1043:SLRTPF>2.0.CO;2,http://ams.allenpress.com/archive/1520-0485/21/7/pdf/i1520-0485-21-7-1043.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Robertson, D.S.",1991,Geophysical applications of very-long- baseline interferometry,Rev. Mod. Phys.,63(4),899-918,10.1103/RevModPhys.63.899,http://dx.doi.org/10.1103/RevModPhys.63.899,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Rosen, R D",1992,Response of zonal winds and atmospheric angular momentum to a doubling of C02,J. Clim.,5(12),1391-1404,10.1175/1520-0442(1992)005<1391:ROZWAA>2.0.CO;2,http://ams.allenpress.com/archive/1520-0442/5/12/pdf/i1520-0442-5-12-1391.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Rosen, R.D.",1993,The axial momentum balance of earth and its fluid envelope.,Surveys Geophys.,14(1),.1-29,10.1007/BF01044076,http://dx.doi.org/10.1007/BF01044076,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Rosen, R.D. and D.A. Salstein",1983,Variations in atmospheric angular momentum on global and regional scales and the length of day.,J. Geophys. Res.,88(C9),5451-5470,10.1029/JC088iC09p05451,http://dx.doi.org/10.1029/JC088iC09p05451,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Rosen, R.D., and D.A. Salstein",1985,Contributions of stratospheric winds to annual and semiannual fluctuations in atmospheric angular momentum and the length of day.,J. Geophys. Res.,90(D5),8033-8041,10.1029/JD090iD05p08033,http://dx.doi.org/10.1029/JD090iD05p08033,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Rosen, R.D., D.A. Salstein and T. Nehrkorn",1991,Predictions of zonal wind and angular momentum by the NMC medium-range forecast model during 1985-89.,Mon. Weather Rev.,119(1),208-217,10.1175/1520-0493(1991)119<0208:POZWAA>2.0.CO;2,http://ams.allenpress.com/archive/1520-0493/119/1/pdf/i1520-0493-119-1-208.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Rosen, R.D., D.A. Salstein, A.J. Miller, and K. Arpe",1987,Accuracy of atmospheric angular momentum estimates from operational analyses.,Mon. Weather Rev.,115(8),1627-1639,10.1175/1520-0493(1987)115<1627:AOAAME>2.0.CO;2,http://ams.allenpress.com/archive/1520-0493/115/8/pdf/i1520-0493-115-8-1627.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Rosen, R.D., D.A. Salstein, and T. M Wood",1990,Discrepancies in the earth atmosphere angular momentum budget.,J. Geophys. Res.,95(B1),265-279,10.1029/JB095iB01p00265,http://dx.doi.org/10.1029/JB095iB01p00265,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Rosen,R.D., Salstein,D.A., Eubanks,T.M., Dickey,J.O. and Steppe,J.A.",1984,An El-Nino signal in atmospheric angular momentum and Earth rotation,Science,225,411-414,10.1126/science.225.4660.411,http://dx.doi.org/10.1126/science.225.4660.411,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Saha, S.",1992,Response of the NMC MRF model to systematic error correction within integration.,Mon. Weather Rev.,120(2),345-360,10.1175/1520-0493(1992)120<0345:ROTNMM>2.0.CO;2,http://ams.allenpress.com/archive/1520-0493/120/2/pdf/i1520-0493-120-2-345.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Salstein, D.A. and D.H. Gambis",1991,Comparisons of polar motion and related atmospheric excitations,EOS Trans. Am. Geophys. Union,72,121,,,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Salstein, D.A. and R.D. Rosen",1986,"Earth rotation as a proxy for interranual variability in atmospheric circulation, 1860-present.",J. Appl. Meteorol.,25(12),1870-1877,10.1175/1520-0450(1986)025<1870:ERAAPF>2.0.CO;2,http://ams.allenpress.com/archive/1520-0450/25/12/pdf/i1520-0450-25-12-1870.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Salstein, D.A. and R.D. Rosen",1989,Regional contributions to the atmospheric excitation of rapid polar motions.,J. Geophys. Res.,94(D7),9971-9978,10.1029/JD094iD07p09971,http://dx.doi.org/10.1029/JD094iD07p09971,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Salstein, D.A., D.H. Gambis, and J.P. Peixoto",1983,Modes of variability in annual hemispheric water vapor fields.,J. Atmos. Sci.,40(3),788-804,10.1175/1520-0469(1983)040<0788:MOVIAH>2.0.CO;2,http://dx.doi.org/10.1175/1520-0469(1983)040<0788:MOVIAH>2.0.CO;2,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Salstein. D.A., Kann,D.M., Miller, A.J. and Rosen, R.D.",1993,The Sub-Bureau for Atmospheric Angular Momentum of the International Earth Rotation Service (IERS): A meteorological data center with geodetic applications.,Bull. Am. Meteorol. Soc.,74(1),67-80,10.1175/1520-0477(1993)074<0067:TSBFAA>2.0.CO;2,http://ams.allenpress.com/archive/1520-0477/74/1/pdf/i1520-0477-74-1-67.pdf,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Schutz, B.E., M.K. Cheng, C.K. Shum, R.J. Eanes and B.D. Tapley",1989,Analysis of earth rotation solution from Starlette.,J. Geophys. Res.,94(B8),10167-10174,10.1029/JB094iB08p10167,http://dx.doi.org/10.1029/JB094iB08p10167,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Starr, V.P.",1948,An essay on the general circulation of the earth's atmosphere.,J. Meteorol.,5(2),39-43,10.1175/1520-0469(1948)005<0039:AEOTGC>2.0.CO;2,http://dx.doi.org/10.1175/1520-0469(1948)005<0039:AEOTGC>2.0.CO;2,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Swinbank, R.",1985,The global atmospheric angular momentum balance inferred from analyses made during the F.G.G.E.,Q. J. Roy. Meteorol. Soc.,111(470),977-992,10.1002/qj.49711147004,http://dx.doi.org/10.1002/qj.49711147004,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Wahr, J.M., and Oort, A.H.",1984,Friction and mountain torque estimates from global atmospheric data.,J. Atmos. Sci.,41(2),190-204,10.1175/1520-0469(1984)041<0190:FAMTEF>2.0.CO;2,http://dx.doi.org/10.1175/1520-0469(1984)041<0190:FAMTEF>2.0.CO;2,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,article,"Weickmann; K.M., Khalsa, S. J. S., and Eischeid. J.",1992,The angular momentum cycle during the tropical Madden-Julian oscillation,Mon. Weather Rev.,120(10),2252-2263,10.1175/1520-0493(1992)120<2252:TAAMCD>2.0.CO;2,http://dx.doi.org/10.1175/1520-0493(1992)120<2252:TAAMCD>2.0.CO;2,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aam,proceedings,"White, G.",1991,Mountain and surface stress torques in NMC analyses.,"Proc. AGU Chapman Conf. on Geodetic VLBI: Monitoring Global Change, U.S. Department of Commerce/NOAA/NOS, NOAA Tech. Rep.",NOS 137 NGS 49,262-269,,,,,https://catalogue.ceda.ac.uk/uuid/308cd069fdb90c9f7ff790fdec5f2523
aaoe,article,"Anderson, J. G.; Brune, W. H.; Lloyd, S. A.; Toohey, D. W.; Sander, S. P.; Starr, W. L.; Loewenstein, M.; Podolske, J. R.",1989,Kinetics of O3 Destruction by ClO and BrO Within the Antarctic Vortex: An Analysis Based on in Situ ER-2 Data,J. Geophys. Res.,94(D9),11480–11520,10.1029/JD094iD09p11480,http://dx.doi.org/10.1029/JD094iD09p11480,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Anderson, J. G.; Brune, W. H.; Proffitt, M. H.",1989,Ozone Destruction by Chlorine Radicals Within the Antarctic Vortex: The Spatial and Temporal Evolution of ClO–O3 Anticorrelation Based on in Situ ER-2 Data,J. Geophys. Res.,94(D9),11465–11479,10.1029/JD094iD09p11465,http://dx.doi.org/10.1029/JD094iD09p11465,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Austin, J.; Jones, R. L.; McKenna, D. S.; Buckland, A. T.; Anderson, J. G.; Fahey, D. W.; Farmer, C. B.; Heidt, L. E.; Proffitt, M. H.; Tuck, A. F.; Vedder, J. F.",1989,Lagrangian Photochemical Modeling Studies of the 1987 Antarctic Spring Vortex 2. Seasonal Trends in Ozone,J. Geophys. Res.,94 (D14),16717–16735,10.1029/JD094iD14p16717,http://dx.doi.org/10.1029/JD094iD14p16717,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Baumgardner, Darrel; Dye, James E.; Gandrud, Bruce W.",1989,Calibration of the Forward Scattering Spectrometer Probe Used on the ER-2 During the Airborne Antarctic Ozone Experiment,J. Geophys. Res.,94 (D14),16475–16480,10.1029/JD094iD14p16475,http://dx.doi.org/10.1029/JD094iD14p16475,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Brune, W. H.; Anderson, J. G.; Chan, K. R.",1989,In Situ Observations of BrO Over Antarctica: ER-2 Aircraft Results From 54°S to 72°S Latitude,J. Geophys. Res.,94 (D14),16639–16647,10.1029/JD094iD14p16639,http://dx.doi.org/10.1029/JD094iD14p16639,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Brune, W. H.; Anderson, J. G.; Chan, K. R.",1989,In Situ Observations of ClO in the Antarctic: ER-2 Aircraft Results From 54°S to 72°S Latitude,J. Geophys. Res.,94 (D14),16649–16663,10.1029/JD094iD14p16649,http://dx.doi.org/10.1029/JD094iD14p16649,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Cariolle, D.; Muller, S.; Cayla, F.; McCormick, M. P.",1989,"Mountain Waves, Polar Stratospheric Clouds, and the Ozone Depletion Over Antarctica",J. Geophys. Res.,94(D9),11233–11240,10.1029/JD094iD09p11233,http://dx.doi.org/10.1029/JD094iD09p11233,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Carroll, M. A.; Sanders, R. W.; Solomon, S.; Schmeltekopf, A. L.",1989,"Visible and Near-Ultraviolet Spectroscopy at McMurdo Station, Antarctica 6. Observations of BrO",J. Geophys. Res.,94 (D14),16633–16638,10.1029/JD094iD14p16633,http://dx.doi.org/10.1029/JD094iD14p16633,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Chan, K. R.; Scott, S. G.; Bui, T. P.; Bowen, S. W.; Day, J.",1989,Temperature and Horizontal Wind Measurements on the ER-2 Aircraft During the 1987 Airborne Antarctic Ozone Experiment,J. Geophys. Res.,94(D9),11573–11587,10.1029/JD094iD09p11573,http://dx.doi.org/10.1029/JD094iD09p11573,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Coffey, M. T.; Mankin, William G.; Goldman, Aaron",1989,"Airborne Measurements of Stratospheric Constituents Over Antarctica in the Austral Spring, 1987 2. Halogen and Nitrogen Trace Gases",J. Geophys. Res.,94 (D14),16597–16613,10.1029/JD094iD14p16597,http://dx.doi.org/10.1029/JD094iD14p16597,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"de Zafra, R. L.; Jaramillo, M.; Barrett, J.; Emmons, L. K.; Solomon, P. M.; Parrish, A.",1989,New Observations of a Large Concentration of ClO in the Springtime Lower Stratosphere Over Antarctica and Its Implications for Ozone-Depleting Chemistry,J. Geophys. Res.,94(D9),11423–11428,10.1029/JD094iD09p11423,http://dx.doi.org/10.1029/JD094iD09p11423,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Denning, Richard F.; Guidero, Steven L.; Parks, Gary S.; Gary, Bruce L.",1989,Instrument Description of the Airborne Microwave Temperature Profiler,J. Geophys. Res.,94 (D14),16757–16765,10.1029/JD094iD14p16757,http://dx.doi.org/10.1029/JD094iD14p16757,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Fahey, D. W.; Kelly, K. K.; Ferry, G. V.; Poole, L. R.; Wilson, J. C.; Murphy, D. M.; Loewenstein, M.; Chan, K. R.",1989,"In Situ Measurements of Total Reactive Nitrogen, Total Water, and Aerosol in a Polar Stratospheric Cloud in the Antarctic",J. Geophys. Res.,94(D9),11299–11315,10.1029/JD094iD09p11299,http://dx.doi.org/10.1029/JD094iD09p11299,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Fahey, D. W.; Murphy, D. M.; Kelly, K. K.; Ko, M. K. W.; Proffitt, M. H.; Eubank, C. S.; Ferry, G. V.; Loewenstein, M.; Chan, K. R.",1989,Measurements of Nitric Oxide and Total Reactive Nitrogen in the Antarctic Stratosphere: Observations and Chemical Implications,J. Geophys. Res.,94 (D14),16665–16681,10.1029/JD094iD14p16665,http://dx.doi.org/10.1029/JD094iD14p16665,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Ferry, G. V.; Neish, E.; Schultz, M.; Pueschel, R. F.",1989,Concentrations and Size Distributions of Antarctic Stratospheric Aerosols,J. Geophys. Res.,94 (D14),16459–16474,10.1029/JD094iD14p16459,http://dx.doi.org/10.1029/JD094iD14p16459,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Gandrud, B. W.; Sperry, P. D.; Sanford, L.; Kelly, K. K.; Ferry, G. V.; Chan, K. R.",1989,Filter Measurement Results From the Airborne Antarctic Ozone Experiment,J. Geophys. Res.,94(D9),11285–11297,10.1029/JD094iD09p11285,http://dx.doi.org/10.1029/JD094iD09p11285,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,misc,"Gardiner, B.G., J.C. Farman",1988,"Results of the 1987 Ozonesonde Programme at Halley Bay, Antarctica.",,"NERC - British Antarctic Survey, Cambridge, UK",,,,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Gary, Bruce L.",1989,Observational Results Using the Microwave Temperature Profiler During the Airborne Antarctic Ozone Experiment,J. Geophys. Res.,94(D9),11223–11231,10.1029/JD094iD09p11223,http://dx.doi.org/10.1029/JD094iD09p11223,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
aaoe,article,"Goodman, J.; Toon, O. B.; Pueschel, R. F.; Snetsinger, K. G.; Verma, S.",1989,Antarctic Stratospheric Ice Crystals,J. Geophys. Res.,94 (D14),16449–16457,10.1029/JD094iD14p16449,http://dx.doi.org/10.1029/JD094iD14p16449,,,https://catalogue.ceda.ac.uk/uuid/3e0a5f6f470c2b6b436e59a6a7fb8f7d 
